# Combined Diameter Scan Report
# Part_ID,CalTest2-90clockwiseoffset
# Timestamp,2026-05-05 22:09:59
# Calibration_File,calibration_Black_05052026-1_20260505_203959.csv
# B19_Calibrated_Diameter,411.163000
# F25_Nominal_Mean,3.829825
# Raw_Diameter,10.359385
# Raw_RMS_Residual,0.022271
# Raw_R_Squared,0.00000000
# Calibrated_Diameter,10.356038
# Calibrated_RMS_Residual,0.022382
# Calibrated_R_Squared,0.00000000

Degree,Raw_B21,F25_cal,Offset_Applied,Calibrated_B21
0.000,5.232000,3.829000,-0.000825,5.231175
5.000,5.281000,3.825000,-0.004825,5.276175
10.000,5.333000,3.823000,-0.006825,5.326175
15.000,5.385000,3.821000,-0.008825,5.376175
20.000,5.436000,3.819000,-0.010825,5.425175
25.000,5.488000,3.819000,-0.010825,5.477175
30.000,5.536000,3.817000,-0.012825,5.523175
35.000,5.582000,3.813000,-0.016825,5.565175
40.000,5.627000,3.809000,-0.020825,5.606175
45.000,5.664000,3.807000,-0.022825,5.641175
50.000,5.699000,3.804000,-0.025825,5.673175
55.000,5.720000,3.802000,-0.027825,5.692175
60.000,5.744000,3.800000,-0.029825,5.714175
65.000,5.750000,3.798000,-0.031825,5.718175
70.000,5.772000,3.795000,-0.034825,5.737175
75.000,5.767000,3.796000,-0.033825,5.733175
80.000,5.758000,3.795000,-0.034825,5.723175
85.000,5.752000,3.795000,-0.034825,5.717175
90.000,5.734000,3.795000,-0.034825,5.699175
95.000,5.714000,3.795000,-0.034825,5.679175
100.000,5.692000,3.797000,-0.032825,5.659175
105.000,5.665000,3.804000,-0.025825,5.639175
110.000,5.623000,3.812000,-0.017825,5.605175
115.000,5.613000,3.791000,-0.038825,5.574175
120.000,5.570000,3.807000,-0.022825,5.547175
125.000,5.531000,3.805000,-0.024825,5.506175
130.000,5.496000,3.806000,-0.023825,5.472175
135.000,5.441000,3.808000,-0.021825,5.419175
140.000,5.409000,3.810000,-0.019825,5.389175
145.000,5.365000,3.813000,-0.016825,5.348175
150.000,5.316000,3.814000,-0.015825,5.300175
155.000,5.277000,3.816000,-0.013825,5.263175
160.000,5.224000,3.821000,-0.008825,5.215175
165.000,5.179000,3.823000,-0.006825,5.172175
170.000,5.131000,3.825000,-0.004825,5.126175
175.000,5.090000,3.829000,-0.000825,5.089175
180.000,5.042000,3.831000,0.001175,5.043175
185.000,5.003000,3.836000,0.006175,5.009175
190.000,4.960000,3.837000,0.007175,4.967175
195.000,4.914000,3.840000,0.010175,4.924175
200.000,4.876000,3.843000,0.013175,4.889175
205.000,4.838000,3.847000,0.017175,4.855175
210.000,4.795000,3.848000,0.018175,4.813175
215.000,4.776000,3.850000,0.020175,4.796175
220.000,4.748000,3.851000,0.021175,4.769175
225.000,4.724000,3.852000,0.022175,4.746175
230.000,4.706000,3.853000,0.023175,4.729175
235.000,4.685000,3.857000,0.027175,4.712175
240.000,4.671000,3.857000,0.027175,4.698175
245.000,4.662000,3.858000,0.028175,4.690175
250.000,4.660000,3.858000,0.028175,4.688175
255.000,4.655000,3.859000,0.029175,4.684175
260.000,4.653000,3.859000,0.029175,4.682175
265.000,4.650000,3.860000,0.030175,4.680175
270.000,4.657000,3.859000,0.029175,4.686175
275.000,4.664000,3.859000,0.029175,4.693175
280.000,4.672000,3.860000,0.030175,4.702175
285.000,4.675000,3.861000,0.031175,4.706175
290.000,4.695000,3.862000,0.032175,4.727175
295.000,4.711000,3.863000,0.033175,4.744175
300.000,4.739000,3.861000,0.031175,4.770175
305.000,4.757000,3.858000,0.028175,4.785175
310.000,4.787000,3.855000,0.025175,4.812175
315.000,4.819000,3.852000,0.022175,4.841175
320.000,4.857000,3.850000,0.020175,4.877175
325.000,4.897000,3.846000,0.016175,4.913175
330.000,4.932000,3.844000,0.014175,4.946175
335.000,4.976000,3.842000,0.012175,4.988175
340.000,5.023000,3.839000,0.009175,5.032175
345.000,5.074000,3.837000,0.007175,5.081175
350.000,5.126000,3.834000,0.004175,5.130175
355.000,5.176000,3.831000,0.001175,5.177175
