# Combined Diameter Scan Report
# Part_ID,CalTest2-offset toward scanner-two rotations
# Timestamp,2026-05-05 22:16:31
# Calibration_File,calibration_Black_05052026-1_20260505_203959.csv
# B19_Calibrated_Diameter,411.163000
# F25_Nominal_Mean,3.829825
# Raw_Diameter,10.354178
# Raw_RMS_Residual,0.038570
# Raw_R_Squared,0.00000000
# Calibrated_Diameter,10.353721
# Calibrated_RMS_Residual,0.038320
# Calibrated_R_Squared,0.00000000

Degree,Raw_B21,F25_cal,Offset_Applied,Calibrated_B21
0.000,6.340000,3.829000,-0.000825,6.339175
5.000,6.340000,3.825000,-0.004825,6.335175
10.000,6.336000,3.823000,-0.006825,6.329175
15.000,6.323000,3.821000,-0.008825,6.314175
20.000,6.295000,3.819000,-0.010825,6.284175
25.000,6.262000,3.819000,-0.010825,6.251175
30.000,6.217000,3.817000,-0.012825,6.204175
35.000,6.174000,3.813000,-0.016825,6.157175
40.000,6.111000,3.809000,-0.020825,6.090175
45.000,6.044000,3.807000,-0.022825,6.021175
50.000,5.969000,3.804000,-0.025825,5.943175
55.000,5.874000,3.802000,-0.027825,5.846175
60.000,5.782000,3.800000,-0.029825,5.752175
65.000,5.672000,3.798000,-0.031825,5.640175
70.000,5.575000,3.795000,-0.034825,5.540175
75.000,5.469000,3.796000,-0.033825,5.435175
80.000,5.350000,3.795000,-0.034825,5.315175
85.000,5.235000,3.795000,-0.034825,5.200175
90.000,5.119000,3.795000,-0.034825,5.084175
95.000,5.008000,3.795000,-0.034825,4.973175
100.000,4.901000,3.797000,-0.032825,4.868175
105.000,4.783000,3.804000,-0.025825,4.757175
110.000,4.676000,3.812000,-0.017825,4.658175
115.000,4.602000,3.791000,-0.038825,4.563175
120.000,4.499000,3.807000,-0.022825,4.476175
125.000,4.408000,3.805000,-0.024825,4.383175
130.000,4.332000,3.806000,-0.023825,4.308175
135.000,4.242000,3.808000,-0.021825,4.220175
140.000,4.184000,3.810000,-0.019825,4.164175
145.000,4.124000,3.813000,-0.016825,4.107175
150.000,4.067000,3.814000,-0.015825,4.051175
155.000,4.014000,3.816000,-0.013825,4.000175
160.000,3.981000,3.821000,-0.008825,3.972175
165.000,3.951000,3.823000,-0.006825,3.944175
170.000,3.931000,3.825000,-0.004825,3.926175
175.000,3.914000,3.829000,-0.000825,3.913175
180.000,3.905000,3.831000,0.001175,3.906175
185.000,3.913000,3.836000,0.006175,3.919175
190.000,3.918000,3.837000,0.007175,3.925175
195.000,3.929000,3.840000,0.010175,3.939175
200.000,3.960000,3.843000,0.013175,3.973175
205.000,3.986000,3.847000,0.017175,4.003175
210.000,4.023000,3.848000,0.018175,4.041175
215.000,4.073000,3.850000,0.020175,4.093175
220.000,4.137000,3.851000,0.021175,4.158175
225.000,4.196000,3.852000,0.022175,4.218175
230.000,4.266000,3.853000,0.023175,4.289175
235.000,4.339000,3.857000,0.027175,4.366175
240.000,4.426000,3.857000,0.027175,4.453175
245.000,4.518000,3.858000,0.028175,4.546175
250.000,4.613000,3.858000,0.028175,4.641175
255.000,4.713000,3.859000,0.029175,4.742175
260.000,4.823000,3.859000,0.029175,4.852175
265.000,4.930000,3.860000,0.030175,4.960175
270.000,5.033000,3.859000,0.029175,5.062175
275.000,5.155000,3.859000,0.029175,5.184175
280.000,5.264000,3.860000,0.030175,5.294175
285.000,5.359000,3.861000,0.031175,5.390175
290.000,5.468000,3.862000,0.032175,5.500175
295.000,5.566000,3.863000,0.033175,5.599175
300.000,5.669000,3.861000,0.031175,5.700175
305.000,5.760000,3.858000,0.028175,5.788175
310.000,5.853000,3.855000,0.025175,5.878175
315.000,5.937000,3.852000,0.022175,5.959175
320.000,6.017000,3.850000,0.020175,6.037175
325.000,6.085000,3.846000,0.016175,6.101175
330.000,6.145000,3.844000,0.014175,6.159175
335.000,6.199000,3.842000,0.012175,6.211175
340.000,6.246000,3.839000,0.009175,6.255175
345.000,6.284000,3.837000,0.007175,6.291175
350.000,6.315000,3.834000,0.004175,6.319175
355.000,6.333000,3.831000,0.001175,6.334175
360.000,6.337000,3.829000,-0.000825,6.336175
365.000,6.341000,3.825000,-0.004825,6.336175
370.000,6.336000,3.823000,-0.006825,6.329175
375.000,6.322000,3.821000,-0.008825,6.313175
380.000,6.294000,3.819000,-0.010825,6.283175
385.000,6.258000,3.819000,-0.010825,6.247175
390.000,6.216000,3.817000,-0.012825,6.203175
395.000,6.175000,3.813000,-0.016825,6.158175
400.000,6.112000,3.809000,-0.020825,6.091175
405.000,6.047000,3.807000,-0.022825,6.024175
410.000,5.968000,3.804000,-0.025825,5.942175
415.000,5.886000,3.802000,-0.027825,5.858175
420.000,5.786000,3.800000,-0.029825,5.756175
425.000,5.680000,3.798000,-0.031825,5.648175
430.000,5.587000,3.795000,-0.034825,5.552175
435.000,5.469000,3.796000,-0.033825,5.435175
440.000,5.351000,3.795000,-0.034825,5.316175
445.000,5.241000,3.795000,-0.034825,5.206175
450.000,5.126000,3.795000,-0.034825,5.091175
455.000,5.013000,3.795000,-0.034825,4.978175
460.000,4.904000,3.797000,-0.032825,4.871175
465.000,4.783000,3.804000,-0.025825,4.757175
470.000,4.675000,3.812000,-0.017825,4.657175
475.000,4.602000,3.791000,-0.038825,4.563175
480.000,4.499000,3.807000,-0.022825,4.476175
485.000,4.408000,3.805000,-0.024825,4.383175
490.000,4.326000,3.806000,-0.023825,4.302175
495.000,4.248000,3.808000,-0.021825,4.226175
500.000,4.180000,3.810000,-0.019825,4.160175
505.000,4.119000,3.813000,-0.016825,4.102175
510.000,4.066000,3.814000,-0.015825,4.050175
515.000,4.026000,3.816000,-0.013825,4.012175
520.000,3.983000,3.821000,-0.008825,3.974175
525.000,3.955000,3.823000,-0.006825,3.948175
530.000,3.931000,3.825000,-0.004825,3.926175
535.000,3.916000,3.829000,-0.000825,3.915175
540.000,3.905000,3.831000,0.001175,3.906175
