StepSize,1
Degree,Value,Timestamp
0.000,3.865000,1776912833.961
1.001,3.867000,1776912834.808
2.002,3.867000,1776912835.655
2.998,3.867000,1776912836.519
3.999,3.870000,1776912837.366
5.001,3.869000,1776912838.214
6.002,3.869000,1776912839.077
6.997,3.869000,1776912839.941
7.999,3.870000,1776912840.805
9.000,3.870000,1776912841.651
10.001,3.871000,1776912842.499
11.002,3.871000,1776912843.346
11.998,3.873000,1776912844.226
12.999,3.874000,1776912845.073
14.001,3.873000,1776912845.921
15.002,3.874000,1776912846.768
15.997,3.873000,1776912847.616
16.999,3.875000,1776912848.479
18.000,3.876000,1776912849.326
19.001,3.876000,1776912850.174
20.002,3.878000,1776912851.037
20.998,3.878000,1776912851.885
21.999,3.879000,1776912852.732
23.001,3.880000,1776912853.580
24.002,3.881000,1776912854.443
24.997,3.881000,1776912855.290
25.999,3.881000,1776912856.138
27.000,3.882000,1776912856.985
28.001,3.882000,1776912857.849
29.002,3.884000,1776912858.696
29.998,3.883000,1776912859.544
30.999,3.883000,1776912860.391
32.001,3.884000,1776912861.255
33.002,3.885000,1776912862.118
33.997,3.884000,1776912862.966
34.999,3.885000,1776912863.829
36.000,3.885000,1776912864.693
37.001,3.885000,1776912865.540
38.002,3.884000,1776912866.388
38.998,3.886000,1776912867.251
39.999,3.885000,1776912868.114
41.001,3.887000,1776912868.978
42.002,3.885000,1776912869.826
42.997,3.885000,1776912870.673
43.999,3.887000,1776912871.537
45.000,3.887000,1776912872.384
46.001,3.887000,1776912873.231
47.002,3.887000,1776912874.015
47.998,3.889000,1776912874.862
48.999,3.889000,1776912875.710
50.001,3.889000,1776912876.557
51.002,3.888000,1776912877.420
51.997,3.890000,1776912878.284
52.999,3.889000,1776912879.131
54.000,3.890000,1776912879.979
55.001,3.890000,1776912880.842
56.002,3.891000,1776912881.706
56.998,3.890000,1776912882.569
57.999,3.890000,1776912883.416
59.001,3.890000,1776912884.264
60.002,3.893000,1776912885.111
60.997,3.892000,1776912885.958
61.999,3.892000,1776912886.806
63.000,3.891000,1776912887.653
64.001,3.893000,1776912888.517
65.002,3.893000,1776912889.364
65.998,3.893000,1776912890.212
66.999,3.893000,1776912891.059
68.001,3.893000,1776912891.923
69.002,3.893000,1776912892.770
69.997,3.893000,1776912893.618
70.999,3.894000,1776912894.481
72.000,3.892000,1776912895.344
73.001,3.894000,1776912896.192
74.002,3.892000,1776912897.039
74.998,3.894000,1776912897.903
75.999,3.895000,1776912898.750
77.001,3.895000,1776912899.597
78.002,3.895000,1776912900.445
78.997,3.894000,1776912901.308
79.999,3.895000,1776912902.156
81.000,3.896000,1776912903.003
82.001,3.895000,1776912903.851
83.002,3.895000,1776912904.714
83.998,3.896000,1776912905.562
84.999,3.895000,1776912906.409
86.001,3.895000,1776912907.256
87.002,3.895000,1776912908.104
87.997,3.895000,1776912908.967
88.999,3.895000,1776912909.814
90.000,3.894000,1776912910.662
91.001,3.897000,1776912911.509
92.002,3.895000,1776912912.389
92.998,3.895000,1776912913.236
93.999,3.895000,1776912914.100
95.001,3.895000,1776912914.963
96.002,3.895000,1776912915.810
96.997,3.896000,1776912916.658
97.999,3.896000,1776912917.521
99.000,3.896000,1776912918.369
100.001,3.897000,1776912919.216
101.002,3.898000,1776912920.064
101.998,3.897000,1776912920.927
102.999,3.897000,1776912921.775
