Degree,Value,Timestamp
0.000,3.104000,1775239129.714
1.001,3.103000,1775239130.561
2.002,3.104000,1775239131.409
2.998,3.105000,1775239132.272
3.999,3.105000,1775239133.136
5.001,3.106000,1775239133.983
6.002,3.105000,1775239134.831
6.997,3.105000,1775239135.678
7.999,3.105000,1775239136.526
9.000,3.104000,1775239137.373
10.001,3.106000,1775239138.236
11.002,3.106000,1775239139.084
11.998,3.103000,1775239139.931
12.999,3.099000,1775239140.779
14.001,3.100000,1775239141.642
15.002,3.103000,1775239142.490
15.997,3.105000,1775239143.337
16.999,3.105000,1775239144.185
18.000,3.103000,1775239145.032
19.001,3.104000,1775239145.880
20.002,3.104000,1775239146.727
20.998,3.105000,1775239147.575
21.999,3.105000,1775239148.422
23.001,3.105000,1775239149.270
24.002,3.103000,1775239150.117
24.997,3.099000,1775239150.981
25.999,3.096000,1775239151.828
27.000,3.099000,1775239152.676
28.001,3.104000,1775239153.523
29.002,3.106000,1775239154.371
29.998,3.102000,1775239155.218
30.999,3.102000,1775239156.066
32.001,3.103000,1775239156.913
33.002,3.104000,1775239157.761
33.997,3.104000,1775239158.624
34.999,3.103000,1775239159.488
36.000,3.102000,1775239160.335
37.001,3.099000,1775239161.182
38.002,3.097000,1775239162.046
38.998,3.096000,1775239162.893
39.999,3.100000,1775239163.741
41.001,3.101000,1775239164.588
42.002,3.097000,1775239165.452
42.997,3.095000,1775239166.315
43.999,3.096000,1775239167.163
45.000,3.099000,1775239168.010
46.001,3.099000,1775239168.873
47.002,3.100000,1775239169.737
47.998,3.098000,1775239170.600
48.999,3.098000,1775239171.448
50.001,3.095000,1775239172.311
51.002,3.096000,1775239173.175
51.997,3.097000,1775239174.038
52.999,3.096000,1775239174.902
54.000,3.090000,1775239175.749
55.001,3.087000,1775239176.596
56.002,3.087000,1775239177.444
56.998,3.091000,1775239178.291
57.999,3.093000,1775239179.139
59.001,3.116000,1775239179.986
60.002,3.106000,1775239180.834
60.997,3.105000,1775239181.681
61.999,3.107000,1775239182.529
63.000,3.111000,1775239183.392
64.001,3.112000,1775239184.256
65.002,3.114000,1775239185.103
65.998,3.113000,1775239185.967
66.999,3.113000,1775239186.830
68.001,3.112000,1775239187.678
69.002,3.114000,1775239188.525
69.997,3.116000,1775239189.372
70.999,3.116000,1775239190.236
72.000,3.113000,1775239191.083
73.001,3.109000,1775239191.931
74.002,3.110000,1775239192.778
74.998,3.114000,1775239193.626
75.999,3.117000,1775239194.473
77.001,3.118000,1775239195.320
78.002,3.118000,1775239196.168
78.997,3.118000,1775239197.015
79.999,3.119000,1775239197.815
81.000,3.118000,1775239198.662
82.001,3.120000,1775239199.510
83.002,3.122000,1775239200.373
83.998,3.120000,1775239201.237
84.999,3.117000,1775239202.100
86.001,3.115000,1775239202.964
87.002,3.118000,1775239203.811
87.997,3.123000,1775239204.659
88.999,3.124000,1775239205.506
90.000,3.123000,1775239206.354
91.001,3.122000,1775239207.201
92.002,3.123000,1775239208.065
92.998,3.124000,1775239208.912
93.999,3.125000,1775239209.776
95.001,3.126000,1775239210.639
96.002,3.125000,1775239211.486
96.997,3.125000,1775239212.334
97.999,3.124000,1775239213.181
99.000,3.125000,1775239214.045
100.001,3.126000,1775239214.908
101.002,3.127000,1775239215.756
101.998,3.123000,1775239216.603
102.999,3.119000,1775239217.467
104.001,3.120000,1775239218.314
105.002,3.123000,1775239219.178
105.997,3.126000,1775239220.041
106.999,3.126000,1775239220.889
108.000,3.125000,1775239221.736
109.001,3.126000,1775239222.600
110.002,3.126000,1775239223.463
110.998,3.125000,1775239224.310
111.999,3.126000,1775239225.158
113.001,3.126000,1775239226.021
114.002,3.124000,1775239226.885
114.997,3.119000,1775239227.748
115.999,3.118000,1775239228.612
117.000,3.122000,1775239229.475
118.001,3.126000,1775239230.323
119.002,3.127000,1775239231.170
119.998,3.125000,1775239232.034
120.999,3.124000,1775239232.881
122.001,3.125000,1775239233.729
123.002,3.125000,1775239234.576
123.997,3.126000,1775239235.424
124.999,3.125000,1775239236.271
126.000,3.124000,1775239237.118
127.001,3.120000,1775239237.966
128.002,3.118000,1775239238.813
128.998,3.120000,1775239239.661
129.999,3.123000,1775239240.524
131.001,3.122000,1775239241.388
132.002,3.118000,1775239242.252
132.997,3.116000,1775239243.099
133.999,3.118000,1775239243.946
135.000,3.119000,1775239244.794
136.001,3.120000,1775239245.641
137.002,3.121000,1775239246.505
137.998,3.120000,1775239247.352
138.999,3.118000,1775239248.200
140.001,3.117000,1775239249.047
141.002,3.117000,1775239249.911
141.997,3.118000,1775239250.758
142.999,3.115000,1775239251.606
144.000,3.110000,1775239252.453
145.001,3.107000,1775239253.301
146.002,3.108000,1775239254.148
146.998,3.110000,1775239254.995
147.999,3.115000,1775239255.843
149.001,3.124000,1775239256.690
150.002,3.114000,1775239257.538
150.997,3.112000,1775239258.385
151.999,3.112000,1775239259.233
153.000,3.117000,1775239260.080
154.001,3.119000,1775239260.928
155.002,3.121000,1775239261.775
155.998,3.119000,1775239262.639
156.999,3.118000,1775239263.502
158.001,3.118000,1775239264.366
159.002,3.119000,1775239265.229
159.997,3.120000,1775239266.093
160.999,3.121000,1775239266.956
162.000,3.118000,1775239267.820
163.001,3.115000,1775239268.683
164.002,3.114000,1775239269.531
164.998,3.117000,1775239270.378
165.999,3.121000,1775239271.242
167.001,3.123000,1775239272.089
168.002,3.122000,1775239272.936
168.997,3.122000,1775239273.784
169.999,3.122000,1775239274.631
171.000,3.122000,1775239275.479
172.001,3.124000,1775239276.342
173.002,3.125000,1775239277.206
173.998,3.124000,1775239278.053
174.999,3.120000,1775239278.917
176.001,3.117000,1775239279.764
177.002,3.119000,1775239280.628
177.997,3.124000,1775239281.491
178.999,3.125000,1775239282.339
180.000,3.124000,1775239283.186
181.001,3.123000,1775239284.033
182.002,3.124000,1775239284.897
182.998,3.124000,1775239285.745
183.999,3.125000,1775239286.592
185.001,3.126000,1775239287.439
186.002,3.125000,1775239288.287
186.997,3.125000,1775239289.134
187.999,3.124000,1775239289.982
189.000,3.124000,1775239290.829
190.001,3.126000,1775239291.693
191.002,3.127000,1775239292.540
191.998,3.123000,1775239293.388
192.999,3.118000,1775239294.235
194.001,3.118000,1775239295.083
195.002,3.122000,1775239295.930
195.997,3.124000,1775239296.778
196.999,3.124000,1775239297.625
198.000,3.122000,1775239298.488
199.001,3.122000,1775239299.352
200.002,3.124000,1775239300.199
200.998,3.123000,1775239301.047
201.999,3.123000,1775239301.910
203.001,3.123000,1775239302.758
204.002,3.122000,1775239303.605
204.997,3.116000,1775239304.469
205.999,3.115000,1775239305.332
207.000,3.117000,1775239306.180
208.001,3.122000,1775239307.027
209.002,3.123000,1775239307.874
209.998,3.121000,1775239308.722
210.999,3.119000,1775239309.569
212.001,3.119000,1775239310.433
213.002,3.120000,1775239311.280
213.997,3.121000,1775239312.128
214.999,3.121000,1775239312.975
216.000,3.118000,1775239313.823
217.001,3.115000,1775239314.670
218.002,3.113000,1775239315.518
218.998,3.113000,1775239316.365
219.999,3.116000,1775239317.213
221.001,3.116000,1775239318.060
222.002,3.113000,1775239318.924
222.997,3.110000,1775239319.771
223.999,3.112000,1775239320.634
225.000,3.112000,1775239321.482
226.001,3.114000,1775239322.329
227.002,3.114000,1775239323.177
227.998,3.112000,1775239324.024
228.999,3.110000,1775239324.872
230.001,3.109000,1775239325.735
231.002,3.109000,1775239326.583
231.997,3.110000,1775239327.430
232.999,3.108000,1775239328.278
234.000,3.102000,1775239329.125
235.001,3.099000,1775239329.973
236.002,3.099000,1775239330.820
236.998,3.104000,1775239331.684
237.999,3.108000,1775239332.547
239.001,3.124000,1775239333.411
240.002,3.117000,1775239334.258
240.997,3.114000,1775239335.121
241.999,3.115000,1775239335.969
243.000,3.118000,1775239336.816
244.001,3.120000,1775239337.680
245.002,3.122000,1775239338.543
245.998,3.121000,1775239339.407
246.999,3.120000,1775239340.254
248.001,3.120000,1775239341.102
249.002,3.121000,1775239341.949
249.997,3.122000,1775239342.796
250.999,3.122000,1775239343.644
252.000,3.120000,1775239344.491
253.001,3.116000,1775239345.339
254.002,3.115000,1775239346.186
254.998,3.117000,1775239347.034
255.999,3.121000,1775239347.897
257.001,3.123000,1775239348.761
258.002,3.122000,1775239349.608
258.997,3.120000,1775239350.456
259.999,3.121000,1775239351.303
261.000,3.122000,1775239352.151
262.001,3.123000,1775239353.014
263.002,3.124000,1775239353.862
263.998,3.123000,1775239354.709
264.999,3.119000,1775239355.557
266.001,3.117000,1775239356.404
267.002,3.118000,1775239357.251
267.997,3.122000,1775239358.115
268.999,3.123000,1775239358.962
270.000,3.122000,1775239359.810
271.001,3.121000,1775239360.657
272.002,3.121000,1775239361.521
272.998,3.123000,1775239362.384
273.999,3.123000,1775239363.248
275.001,3.123000,1775239364.095
276.002,3.123000,1775239364.959
276.997,3.122000,1775239365.806
277.999,3.122000,1775239366.654
279.000,3.122000,1775239367.517
280.001,3.122000,1775239368.364
281.002,3.123000,1775239369.212
281.998,3.120000,1775239370.059
282.999,3.115000,1775239370.907
284.001,3.115000,1775239371.754
285.002,3.118000,1775239372.602
285.997,3.120000,1775239373.465
286.999,3.120000,1775239374.329
288.000,3.118000,1775239375.192
289.001,3.119000,1775239376.056
290.002,3.119000,1775239376.919
290.998,3.118000,1775239377.767
291.999,3.118000,1775239378.614
293.001,3.119000,1775239379.461
294.002,3.117000,1775239380.325
294.997,3.112000,1775239381.189
295.999,3.109000,1775239382.036
297.000,3.111000,1775239382.883
298.001,3.117000,1775239383.731
299.002,3.118000,1775239384.578
299.998,3.115000,1775239385.426
300.999,3.113000,1775239386.289
302.001,3.113000,1775239387.153
303.002,3.114000,1775239388.016
303.997,3.115000,1775239388.864
304.999,3.114000,1775239389.711
306.000,3.112000,1775239390.558
307.001,3.109000,1775239391.406
308.002,3.106000,1775239392.253
308.998,3.106000,1775239393.117
309.999,3.109000,1775239393.980
311.001,3.110000,1775239394.828
312.002,3.105000,1775239395.675
312.997,3.102000,1775239396.523
313.999,3.104000,1775239397.370
315.000,3.105000,1775239398.218
316.001,3.106000,1775239399.065
317.002,3.106000,1775239399.913
317.998,3.106000,1775239400.760
318.999,3.103000,1775239401.607
320.001,3.101000,1775239402.471
321.002,3.102000,1775239403.318
321.997,3.102000,1775239404.166
322.999,3.100000,1775239405.013
324.000,3.094000,1775239405.861
325.001,3.091000,1775239406.725
326.002,3.092000,1775239407.572
326.998,3.095000,1775239408.419
327.999,3.098000,1775239409.267
329.001,3.105000,1775239410.114
330.002,3.096000,1775239410.962
330.997,3.094000,1775239411.809
331.999,3.096000,1775239412.673
333.000,3.099000,1775239413.536
334.001,3.101000,1775239414.384
335.002,3.102000,1775239415.231
335.998,3.102000,1775239416.095
336.999,3.101000,1775239416.974
338.001,3.099000,1775239417.821
339.002,3.100000,1775239418.669
339.997,3.102000,1775239419.516
340.999,3.102000,1775239420.364
