StepSize,1
Degree,Value,Timestamp
0.000,3.104000,1775315917.383
1.001,3.104000,1775315918.230
2.002,3.104000,1775315919.077
2.998,3.105000,1775315919.925
3.999,3.105000,1775315920.772
5.001,3.106000,1775315921.620
6.002,3.105000,1775315922.467
6.997,3.105000,1775315923.331
7.999,3.105000,1775315924.178
9.000,3.104000,1775315925.026
10.001,3.106000,1775315925.873
11.002,3.106000,1775315926.721
11.998,3.103000,1775315927.568
12.999,3.100000,1775315928.416
14.001,3.100000,1775315929.263
15.002,3.103000,1775315930.111
15.997,3.105000,1775315930.974
16.999,3.106000,1775315931.822
18.000,3.104000,1775315932.669
19.001,3.105000,1775315933.532
20.002,3.104000,1775315934.380
20.998,3.105000,1775315935.227
21.999,3.105000,1775315936.075
23.001,3.106000,1775315936.938
24.002,3.103000,1775315937.802
24.997,3.099000,1775315938.649
25.999,3.097000,1775315939.497
27.000,3.100000,1775315940.360
28.001,3.104000,1775315941.224
29.002,3.106000,1775315942.087
29.998,3.103000,1775315942.935
30.999,3.102000,1775315943.782
32.001,3.104000,1775315944.645
33.002,3.104000,1775315945.493
33.997,3.105000,1775315946.340
34.999,3.105000,1775315947.188
36.000,3.102000,1775315948.035
37.001,3.099000,1775315948.899
38.002,3.097000,1775315949.746
38.998,3.097000,1775315950.610
39.999,3.101000,1775315951.473
41.001,3.101000,1775315952.320
42.002,3.098000,1775315953.168
42.997,3.095000,1775315954.015
43.999,3.098000,1775315954.879
45.000,3.099000,1775315955.742
46.001,3.099000,1775315956.590
47.002,3.101000,1775315957.437
47.998,3.099000,1775315958.301
48.999,3.098000,1775315959.148
50.001,3.097000,1775315959.995
51.002,3.096000,1775315960.843
51.997,3.098000,1775315961.706
52.999,3.096000,1775315962.554
54.000,3.091000,1775315963.417
55.001,3.087000,1775315964.265
56.002,3.088000,1775315965.112
56.998,3.091000,1775315965.960
57.999,3.095000,1775315966.807
59.001,3.115000,1775315967.655
60.002,3.107000,1775315968.518
60.997,3.106000,1775315969.366
61.999,3.108000,1775315970.229
63.000,3.112000,1775315971.077
64.001,3.113000,1775315971.924
65.002,3.115000,1775315972.788
65.998,3.114000,1775315973.635
66.999,3.114000,1775315974.483
68.001,3.113000,1775315975.346
69.002,3.114000,1775315976.194
69.997,3.116000,1775315977.057
70.999,3.117000,1775315977.921
72.000,3.114000,1775315978.768
73.001,3.111000,1775315979.615
74.002,3.110000,1775315980.463
74.998,3.115000,1775315981.310
75.999,3.118000,1775315982.158
77.001,3.120000,1775315983.021
78.002,3.119000,1775315983.869
78.997,3.118000,1775315984.716
79.999,3.120000,1775315985.564
81.000,3.120000,1775315986.411
82.001,3.122000,1775315987.259
83.002,3.122000,1775315988.106
83.998,3.122000,1775315988.969
84.999,3.118000,1775315989.817
86.001,3.116000,1775315990.664
