Run,Degree,Measured,Calibration,Difference
1,0.000,3.827000,3.829000,-0.002000
1,1.001,3.827000,3.828000,-0.001000
1,2.002,3.827000,3.827000,0.000000
1,2.998,3.825000,3.826000,-0.001000
1,3.999,3.825000,3.826000,-0.001000
1,5.001,3.824000,3.825000,-0.001000
1,6.002,3.824000,3.824000,0.000000
1,6.997,3.823000,3.824000,-0.001000
1,7.999,3.823000,3.824000,-0.001000
1,9.000,3.823000,3.824000,-0.001000
1,10.001,3.822000,3.823000,-0.001000
1,11.002,3.822000,3.823000,-0.001000
1,11.998,3.822000,3.822000,0.000000
1,12.999,3.821000,3.821000,0.000000
1,14.001,3.821000,3.822000,-0.001000
1,15.002,3.820000,3.821000,-0.001000
1,15.997,3.820000,3.819000,0.001000
1,16.999,3.819000,3.819000,0.000000
1,18.000,3.818000,3.819000,-0.001000
1,19.001,3.820000,3.821000,-0.001000
1,20.002,3.819000,3.819000,0.000000
1,20.998,3.820000,3.820000,0.000000
1,21.999,3.818000,3.819000,-0.001000
1,23.001,3.818000,3.819000,-0.001000
1,24.002,3.819000,3.819000,0.000000
1,24.997,3.817000,3.819000,-0.002000
1,25.999,3.817000,3.818000,-0.001000
1,27.000,3.817000,3.819000,-0.002000
1,28.001,3.818000,3.818000,0.000000
1,29.002,3.817000,3.817000,0.000000
1,29.998,3.816000,3.817000,-0.001000
1,30.999,3.816000,3.815000,0.001000
1,32.001,3.814000,3.815000,-0.001000
1,33.002,3.814000,3.815000,-0.001000
1,33.997,3.814000,3.814000,0.000000
1,34.999,3.813000,3.813000,0.000000
1,36.000,3.812000,3.812000,0.000000
1,37.001,3.810000,3.811000,-0.001000
1,38.002,3.810000,3.812000,-0.002000
1,38.998,3.810000,3.810000,0.000000
1,39.999,3.809000,3.809000,0.000000
1,41.001,3.808000,3.810000,-0.002000
1,42.002,3.809000,3.809000,0.000000
1,42.997,3.808000,3.807000,0.001000
1,43.999,3.806000,3.807000,-0.001000
1,45.000,3.806000,3.807000,-0.001000
1,46.001,3.806000,3.807000,-0.001000
1,47.002,3.805000,3.805000,0.000000
1,47.998,3.804000,3.805000,-0.001000
1,48.999,3.804000,3.805000,-0.001000
1,50.001,3.804000,3.804000,0.000000
1,51.002,3.804000,3.803000,0.001000
1,51.997,3.802000,3.803000,-0.001000
1,52.999,3.802000,3.803000,-0.001000
1,54.000,3.802000,3.802000,0.000000
1,55.001,3.801000,3.802000,-0.001000
1,56.002,3.800000,3.801000,-0.001000
1,56.998,3.801000,3.801000,0.000000
1,57.999,3.800000,3.799000,0.001000
1,59.001,3.798000,3.801000,-0.003000
1,60.002,3.800000,3.800000,0.000000
1,60.997,3.800000,3.799000,0.001000
1,61.999,3.798000,3.798000,0.000000
1,63.000,3.797000,3.799000,-0.002000
1,64.001,3.800000,3.799000,0.001000
1,65.002,3.798000,3.798000,0.000000
1,65.998,3.796000,3.797000,-0.001000
1,66.999,3.796000,3.798000,-0.002000
1,68.001,3.796000,3.797000,-0.001000
1,69.002,3.797000,3.796000,0.001000
1,69.997,3.797000,3.795000,0.002000
1,70.999,3.795000,3.797000,-0.002000
1,72.000,3.795000,3.796000,-0.001000
1,73.001,3.796000,3.796000,0.000000
1,74.002,3.796000,3.795000,0.001000
1,74.998,3.795000,3.796000,-0.001000
1,75.999,3.794000,3.795000,-0.001000
1,77.001,3.795000,3.795000,0.000000
1,78.002,3.794000,3.794000,0.000000
1,78.997,3.795000,3.794000,0.001000
1,79.999,3.794000,3.795000,-0.001000
1,81.000,3.794000,3.794000,0.000000
1,82.001,3.794000,3.794000,0.000000
1,83.002,3.794000,3.795000,-0.001000
1,83.998,3.794000,3.793000,0.001000
1,84.999,3.794000,3.795000,-0.001000
1,86.001,3.795000,3.795000,0.000000
1,87.002,3.795000,3.795000,0.000000
1,87.997,3.794000,3.795000,-0.001000
1,88.999,3.795000,3.796000,-0.001000
1,90.000,3.795000,3.795000,0.000000
1,91.001,3.795000,3.795000,0.000000
1,92.002,3.796000,3.796000,0.000000
1,92.998,3.794000,3.797000,-0.003000
1,93.999,3.795000,3.795000,0.000000
1,95.001,3.795000,3.795000,0.000000
1,96.002,3.796000,3.797000,-0.001000
1,96.997,3.795000,3.796000,-0.001000
1,97.999,3.796000,3.795000,0.001000
1,99.000,3.796000,3.797000,-0.001000
1,100.001,3.796000,3.797000,-0.001000
1,101.002,3.797000,3.797000,0.000000
1,101.998,3.798000,3.799000,-0.001000
1,102.999,3.799000,3.800000,-0.001000
1,104.001,3.800000,3.801000,-0.001000
1,105.002,3.802000,3.804000,-0.002000
1,105.997,3.809000,3.811000,-0.002000
1,106.999,3.817000,3.819000,-0.002000
1,108.000,3.820000,3.821000,-0.001000
1,109.001,3.818000,3.818000,0.000000
1,110.002,3.812000,3.812000,0.000000
1,110.998,3.805000,3.805000,0.000000
1,111.999,3.800000,3.800000,0.000000
1,113.001,3.796000,3.796000,0.000000
1,114.002,3.792000,3.792000,0.000000
1,114.997,3.791000,3.791000,0.000000
1,115.999,3.790000,3.791000,-0.001000
1,117.000,3.792000,3.793000,-0.001000
1,118.001,3.796000,3.797000,-0.001000
1,119.002,3.800000,3.802000,-0.002000
1,119.998,3.805000,3.807000,-0.002000
1,120.999,3.810000,3.811000,-0.001000
1,122.001,3.811000,3.813000,-0.002000
1,123.002,3.811000,3.811000,0.000000
1,123.997,3.808000,3.807000,0.001000
1,124.999,3.804000,3.805000,-0.001000
1,126.000,3.804000,3.805000,-0.001000
1,127.001,3.804000,3.805000,-0.001000
1,128.002,3.805000,3.805000,0.000000
1,128.998,3.805000,3.805000,0.000000
1,129.999,3.805000,3.806000,-0.001000
1,131.001,3.806000,3.806000,0.000000
1,132.002,3.806000,3.807000,-0.001000
1,132.997,3.807000,3.808000,-0.001000
1,133.999,3.808000,3.809000,-0.001000
1,135.000,3.808000,3.808000,0.000000
1,136.001,3.808000,3.808000,0.000000
1,137.002,3.808000,3.810000,-0.002000
1,137.998,3.809000,3.810000,-0.001000
1,138.999,3.809000,3.809000,0.000000
1,140.001,3.809000,3.810000,-0.001000
1,141.002,3.810000,3.812000,-0.002000
1,141.997,3.810000,3.811000,-0.001000
1,142.999,3.811000,3.811000,0.000000
1,144.000,3.811000,3.812000,-0.001000
1,145.001,3.812000,3.813000,-0.001000
1,146.002,3.812000,3.813000,-0.001000
1,146.998,3.813000,3.813000,0.000000
1,147.999,3.812000,3.814000,-0.002000
1,149.001,3.813000,3.814000,-0.001000
1,150.002,3.814000,3.814000,0.000000
1,150.997,3.813000,3.813000,0.000000
1,151.999,3.815000,3.816000,-0.001000
1,153.000,3.815000,3.816000,-0.001000
1,154.001,3.816000,3.817000,-0.001000
1,155.002,3.816000,3.816000,0.000000
1,155.998,3.817000,3.818000,-0.001000
1,156.999,3.819000,3.819000,0.000000
1,158.001,3.819000,3.820000,-0.001000
1,159.002,3.820000,3.820000,0.000000
1,159.997,3.820000,3.821000,-0.001000
1,160.999,3.821000,3.821000,0.000000
1,162.000,3.821000,3.821000,0.000000
1,163.001,3.820000,3.823000,-0.003000
1,164.002,3.823000,3.822000,0.001000
1,164.998,3.822000,3.823000,-0.001000
1,165.999,3.822000,3.824000,-0.002000
1,167.001,3.824000,3.825000,-0.001000
1,168.002,3.824000,3.824000,0.000000
1,168.997,3.824000,3.824000,0.000000
1,169.999,3.825000,3.825000,0.000000
1,171.000,3.824000,3.825000,-0.001000
1,172.001,3.826000,3.826000,0.000000
1,173.002,3.826000,3.828000,-0.002000
1,173.998,3.827000,3.827000,0.000000
1,174.999,3.827000,3.829000,-0.002000
1,176.001,3.828000,3.829000,-0.001000
1,177.002,3.828000,3.829000,-0.001000
1,177.997,3.830000,3.830000,0.000000
1,178.999,3.830000,3.830000,0.000000
1,180.000,3.830000,3.831000,-0.001000
1,181.001,3.831000,3.832000,-0.001000
1,182.002,3.832000,3.834000,-0.002000
1,182.998,3.831000,3.833000,-0.002000
1,183.999,3.833000,3.833000,0.000000
1,185.001,3.833000,3.836000,-0.003000
1,186.002,3.835000,3.835000,0.000000
1,186.997,3.835000,3.835000,0.000000
1,187.999,3.835000,3.835000,0.000000
1,189.000,3.835000,3.836000,-0.001000
1,190.001,3.835000,3.837000,-0.002000
1,191.002,3.838000,3.837000,0.001000
1,191.998,3.838000,3.838000,0.000000
1,192.999,3.837000,3.839000,-0.002000
1,194.001,3.839000,3.839000,0.000000
1,195.002,3.839000,3.840000,-0.001000
1,195.997,3.840000,3.840000,0.000000
1,196.999,3.839000,3.841000,-0.002000
1,198.000,3.839000,3.841000,-0.002000
1,199.001,3.841000,3.842000,-0.001000
1,200.002,3.842000,3.843000,-0.001000
1,200.998,3.844000,3.844000,0.000000
1,201.999,3.844000,3.844000,0.000000
1,203.001,3.844000,3.846000,-0.002000
1,204.002,3.844000,3.846000,-0.002000
1,204.997,3.846000,3.847000,-0.001000
1,205.999,3.846000,3.847000,-0.001000
1,207.000,3.847000,3.847000,0.000000
1,208.001,3.847000,3.848000,-0.001000
1,209.002,3.846000,3.848000,-0.002000
1,209.998,3.848000,3.848000,0.000000
1,210.999,3.849000,3.850000,-0.001000
1,212.001,3.849000,3.850000,-0.001000
1,213.002,3.849000,3.850000,-0.001000
1,213.997,3.850000,3.850000,0.000000
1,214.999,3.849000,3.850000,-0.001000
1,216.000,3.849000,3.851000,-0.002000
1,217.001,3.850000,3.851000,-0.001000
