# Combined Diameter Scan Report
# Part_ID,CalTest1
# Timestamp,2026-05-05 21:56:12
# Calibration_File,calibration_Black_05052026-1_20260505_203959.csv
# B19_Calibrated_Diameter,411.163000
# F25_Nominal_Mean,3.829825
# Raw_Diameter,10.357475
# Raw_RMS_Residual,0.019511
# Raw_R_Squared,0.00000000
# Calibrated_Diameter,10.357147
# Calibrated_RMS_Residual,0.019736
# Calibrated_R_Squared,0.00000000

Degree,Raw_B21,F25_cal,Offset_Applied,Calibrated_B21
0.000,5.011000,3.829000,-0.000825,5.010175
5.000,5.015000,3.825000,-0.004825,5.010175
10.000,5.024000,3.823000,-0.006825,5.017175
15.000,5.029000,3.821000,-0.008825,5.020175
20.000,5.035000,3.819000,-0.010825,5.024175
25.000,5.042000,3.819000,-0.010825,5.031175
30.000,5.052000,3.817000,-0.012825,5.039175
35.000,5.071000,3.813000,-0.016825,5.054175
40.000,5.079000,3.809000,-0.020825,5.058175
45.000,5.094000,3.807000,-0.022825,5.071175
50.000,5.108000,3.804000,-0.025825,5.082175
55.000,5.113000,3.802000,-0.027825,5.085175
60.000,5.130000,3.800000,-0.029825,5.100175
65.000,5.136000,3.798000,-0.031825,5.104175
70.000,5.165000,3.795000,-0.034825,5.130175
75.000,5.180000,3.796000,-0.033825,5.146175
80.000,5.191000,3.795000,-0.034825,5.156175
85.000,5.210000,3.795000,-0.034825,5.175175
90.000,5.222000,3.795000,-0.034825,5.187175
95.000,5.236000,3.795000,-0.034825,5.201175
100.000,5.254000,3.797000,-0.032825,5.221175
105.000,5.260000,3.804000,-0.025825,5.234175
110.000,5.273000,3.812000,-0.017825,5.255175
115.000,5.316000,3.791000,-0.038825,5.277175
120.000,5.324000,3.807000,-0.022825,5.301175
125.000,5.338000,3.805000,-0.024825,5.313175
130.000,5.358000,3.806000,-0.023825,5.334175
135.000,5.362000,3.808000,-0.021825,5.340175
140.000,5.385000,3.810000,-0.019825,5.365175
145.000,5.398000,3.813000,-0.016825,5.381175
150.000,5.406000,3.814000,-0.015825,5.390175
155.000,5.416000,3.816000,-0.013825,5.402175
160.000,5.418000,3.821000,-0.008825,5.409175
165.000,5.421000,3.823000,-0.006825,5.414175
170.000,5.422000,3.825000,-0.004825,5.417175
175.000,5.415000,3.829000,-0.000825,5.414175
180.000,5.406000,3.831000,0.001175,5.407175
185.000,5.397000,3.836000,0.006175,5.403175
190.000,5.385000,3.837000,0.007175,5.392175
195.000,5.365000,3.840000,0.010175,5.375175
200.000,5.356000,3.843000,0.013175,5.369175
205.000,5.326000,3.847000,0.017175,5.343175
210.000,5.308000,3.848000,0.018175,5.326175
215.000,5.289000,3.850000,0.020175,5.309175
220.000,5.272000,3.851000,0.021175,5.293175
225.000,5.256000,3.852000,0.022175,5.278175
230.000,5.233000,3.853000,0.023175,5.256175
235.000,5.209000,3.857000,0.027175,5.236175
240.000,5.193000,3.857000,0.027175,5.220175
245.000,5.176000,3.858000,0.028175,5.204175
250.000,5.151000,3.858000,0.028175,5.179175
255.000,5.131000,3.859000,0.029175,5.160175
260.000,5.124000,3.859000,0.029175,5.153175
265.000,5.104000,3.860000,0.030175,5.134175
270.000,5.078000,3.859000,0.029175,5.107175
275.000,5.077000,3.859000,0.029175,5.106175
280.000,5.062000,3.860000,0.030175,5.092175
285.000,5.034000,3.861000,0.031175,5.065175
290.000,5.025000,3.862000,0.032175,5.057175
295.000,5.010000,3.863000,0.033175,5.043175
300.000,5.005000,3.861000,0.031175,5.036175
305.000,4.992000,3.858000,0.028175,5.020175
310.000,4.979000,3.855000,0.025175,5.004175
315.000,4.980000,3.852000,0.022175,5.002175
320.000,4.979000,3.850000,0.020175,4.999175
325.000,4.971000,3.846000,0.016175,4.987175
330.000,4.977000,3.844000,0.014175,4.991175
335.000,4.984000,3.842000,0.012175,4.996175
340.000,4.984000,3.839000,0.009175,4.993175
345.000,4.991000,3.837000,0.007175,4.998175
350.000,4.998000,3.834000,0.004175,5.002175
355.000,4.998000,3.831000,0.001175,4.999175
