# Combined Diameter Scan Report
# Part_ID,CalTest2-90clockwiseoffset
# Timestamp,2026-05-05 22:05:54
# Calibration_File,calibration_Black_05052026-1_20260505_203959.csv
# B19_Calibrated_Diameter,411.163000
# F25_Nominal_Mean,3.829825
# Raw_Diameter,10.359199
# Raw_RMS_Residual,0.023188
# Raw_R_Squared,0.00000000
# Calibrated_Diameter,10.355850
# Calibrated_RMS_Residual,0.023309
# Calibrated_R_Squared,0.00000000

Degree,Raw_B21,F25_cal,Offset_Applied,Calibrated_B21
0.000,5.230000,3.829000,-0.000825,5.229175
5.000,5.278000,3.825000,-0.004825,5.273175
10.000,5.332000,3.823000,-0.006825,5.325175
15.000,5.383000,3.821000,-0.008825,5.374175
20.000,5.436000,3.819000,-0.010825,5.425175
25.000,5.489000,3.819000,-0.010825,5.478175
30.000,5.535000,3.817000,-0.012825,5.522175
35.000,5.583000,3.813000,-0.016825,5.566175
40.000,5.629000,3.809000,-0.020825,5.608175
45.000,5.668000,3.807000,-0.022825,5.645175
50.000,5.698000,3.804000,-0.025825,5.672175
55.000,5.732000,3.802000,-0.027825,5.704175
60.000,5.746000,3.800000,-0.029825,5.716175
65.000,5.751000,3.798000,-0.031825,5.719175
70.000,5.772000,3.795000,-0.034825,5.737175
75.000,5.767000,3.796000,-0.033825,5.733175
80.000,5.759000,3.795000,-0.034825,5.724175
85.000,5.750000,3.795000,-0.034825,5.715175
90.000,5.733000,3.795000,-0.034825,5.698175
95.000,5.714000,3.795000,-0.034825,5.679175
100.000,5.694000,3.797000,-0.032825,5.661175
105.000,5.661000,3.804000,-0.025825,5.635175
110.000,5.623000,3.812000,-0.017825,5.605175
115.000,5.613000,3.791000,-0.038825,5.574175
120.000,5.570000,3.807000,-0.022825,5.547175
125.000,5.530000,3.805000,-0.024825,5.505175
130.000,5.494000,3.806000,-0.023825,5.470175
135.000,5.441000,3.808000,-0.021825,5.419175
140.000,5.410000,3.810000,-0.019825,5.390175
145.000,5.366000,3.813000,-0.016825,5.349175
150.000,5.317000,3.814000,-0.015825,5.301175
155.000,5.268000,3.816000,-0.013825,5.254175
160.000,5.224000,3.821000,-0.008825,5.215175
165.000,5.180000,3.823000,-0.006825,5.173175
170.000,5.135000,3.825000,-0.004825,5.130175
175.000,5.090000,3.829000,-0.000825,5.089175
180.000,5.043000,3.831000,0.001175,5.044175
185.000,4.999000,3.836000,0.006175,5.005175
190.000,4.958000,3.837000,0.007175,4.965175
195.000,4.914000,3.840000,0.010175,4.924175
200.000,4.878000,3.843000,0.013175,4.891175
205.000,4.838000,3.847000,0.017175,4.855175
210.000,4.796000,3.848000,0.018175,4.814175
215.000,4.777000,3.850000,0.020175,4.797175
220.000,4.748000,3.851000,0.021175,4.769175
225.000,4.723000,3.852000,0.022175,4.745175
230.000,4.706000,3.853000,0.023175,4.729175
235.000,4.687000,3.857000,0.027175,4.714175
240.000,4.675000,3.857000,0.027175,4.702175
245.000,4.662000,3.858000,0.028175,4.690175
250.000,4.658000,3.858000,0.028175,4.686175
255.000,4.655000,3.859000,0.029175,4.684175
260.000,4.653000,3.859000,0.029175,4.682175
265.000,4.652000,3.860000,0.030175,4.682175
270.000,4.654000,3.859000,0.029175,4.683175
275.000,4.665000,3.859000,0.029175,4.694175
280.000,4.671000,3.860000,0.030175,4.701175
285.000,4.675000,3.861000,0.031175,4.706175
290.000,4.695000,3.862000,0.032175,4.727175
295.000,4.709000,3.863000,0.033175,4.742175
300.000,4.739000,3.861000,0.031175,4.770175
305.000,4.755000,3.858000,0.028175,4.783175
310.000,4.787000,3.855000,0.025175,4.812175
315.000,4.821000,3.852000,0.022175,4.843175
320.000,4.857000,3.850000,0.020175,4.877175
325.000,4.892000,3.846000,0.016175,4.908175
330.000,4.935000,3.844000,0.014175,4.949175
335.000,4.977000,3.842000,0.012175,4.989175
340.000,5.021000,3.839000,0.009175,5.030175
345.000,5.072000,3.837000,0.007175,5.079175
350.000,5.125000,3.834000,0.004175,5.129175
355.000,5.170000,3.831000,0.001175,5.171175
