# Combined Diameter Scan Report
# Part_ID,CalTest2-offset toward scanner
# Timestamp,2026-05-05 22:12:28
# Calibration_File,calibration_Black_05052026-1_20260505_203959.csv
# B19_Calibrated_Diameter,411.163000
# F25_Nominal_Mean,3.829825
# Raw_Diameter,10.350989
# Raw_RMS_Residual,0.038762
# Raw_R_Squared,0.00000000
# Calibrated_Diameter,10.350534
# Calibrated_RMS_Residual,0.038512
# Calibrated_R_Squared,0.00000000

Degree,Raw_B21,F25_cal,Offset_Applied,Calibrated_B21
0.000,6.342000,3.829000,-0.000825,6.341175
5.000,6.340000,3.825000,-0.004825,6.335175
10.000,6.335000,3.823000,-0.006825,6.328175
15.000,6.318000,3.821000,-0.008825,6.309175
20.000,6.293000,3.819000,-0.010825,6.282175
25.000,6.258000,3.819000,-0.010825,6.247175
30.000,6.216000,3.817000,-0.012825,6.203175
35.000,6.174000,3.813000,-0.016825,6.157175
40.000,6.111000,3.809000,-0.020825,6.090175
45.000,6.043000,3.807000,-0.022825,6.020175
50.000,5.969000,3.804000,-0.025825,5.943175
55.000,5.874000,3.802000,-0.027825,5.846175
60.000,5.782000,3.800000,-0.029825,5.752175
65.000,5.674000,3.798000,-0.031825,5.642175
70.000,5.573000,3.795000,-0.034825,5.538175
75.000,5.467000,3.796000,-0.033825,5.433175
80.000,5.349000,3.795000,-0.034825,5.314175
85.000,5.237000,3.795000,-0.034825,5.202175
90.000,5.124000,3.795000,-0.034825,5.089175
95.000,5.008000,3.795000,-0.034825,4.973175
100.000,4.898000,3.797000,-0.032825,4.865175
105.000,4.784000,3.804000,-0.025825,4.758175
110.000,4.674000,3.812000,-0.017825,4.656175
115.000,4.601000,3.791000,-0.038825,4.562175
120.000,4.500000,3.807000,-0.022825,4.477175
125.000,4.408000,3.805000,-0.024825,4.383175
130.000,4.329000,3.806000,-0.023825,4.305175
135.000,4.250000,3.808000,-0.021825,4.228175
140.000,4.178000,3.810000,-0.019825,4.158175
145.000,4.122000,3.813000,-0.016825,4.105175
150.000,4.065000,3.814000,-0.015825,4.049175
155.000,4.020000,3.816000,-0.013825,4.006175
160.000,3.975000,3.821000,-0.008825,3.966175
165.000,3.950000,3.823000,-0.006825,3.943175
170.000,3.925000,3.825000,-0.004825,3.920175
175.000,3.907000,3.829000,-0.000825,3.906175
180.000,3.904000,3.831000,0.001175,3.905175
185.000,3.906000,3.836000,0.006175,3.912175
190.000,3.917000,3.837000,0.007175,3.924175
195.000,3.928000,3.840000,0.010175,3.938175
200.000,3.956000,3.843000,0.013175,3.969175
205.000,3.986000,3.847000,0.017175,4.003175
210.000,4.020000,3.848000,0.018175,4.038175
215.000,4.077000,3.850000,0.020175,4.097175
220.000,4.132000,3.851000,0.021175,4.153175
225.000,4.190000,3.852000,0.022175,4.212175
230.000,4.263000,3.853000,0.023175,4.286175
235.000,4.338000,3.857000,0.027175,4.365175
240.000,4.427000,3.857000,0.027175,4.454175
245.000,4.509000,3.858000,0.028175,4.537175
250.000,4.612000,3.858000,0.028175,4.640175
255.000,4.715000,3.859000,0.029175,4.744175
260.000,4.819000,3.859000,0.029175,4.848175
265.000,4.927000,3.860000,0.030175,4.957175
270.000,5.037000,3.859000,0.029175,5.066175
275.000,5.142000,3.859000,0.029175,5.171175
280.000,5.253000,3.860000,0.030175,5.283175
285.000,5.361000,3.861000,0.031175,5.392175
290.000,5.466000,3.862000,0.032175,5.498175
295.000,5.567000,3.863000,0.033175,5.600175
300.000,5.669000,3.861000,0.031175,5.700175
305.000,5.765000,3.858000,0.028175,5.793175
310.000,5.850000,3.855000,0.025175,5.875175
315.000,5.940000,3.852000,0.022175,5.962175
320.000,6.018000,3.850000,0.020175,6.038175
325.000,6.087000,3.846000,0.016175,6.103175
330.000,6.144000,3.844000,0.014175,6.158175
335.000,6.198000,3.842000,0.012175,6.210175
340.000,6.241000,3.839000,0.009175,6.250175
345.000,6.281000,3.837000,0.007175,6.288175
350.000,6.311000,3.834000,0.004175,6.315175
355.000,6.327000,3.831000,0.001175,6.328175
