# Multi-Rotation Diameter Scan Report
# Part_ID,CalTest_5x
# Timestamp,2026-05-05 22:29:27
# Num_Rotations,5
# Calibration_Applied,yes
# Calibration_File,calibration_ring_gauge_2_20260404_112344.csv
# B19_Calibrated_Diameter,411.163000
# F25_Nominal_Mean,3.113739
# Rotation_1_Diameter,10.351019
# Rotation_1_RMS_Residual,0.041072
# Rotation_1_Max_Residual,0.073880
# Rotation_1_R_Squared,0.00000000
# Rotation_2_Diameter,10.349766
# Rotation_2_RMS_Residual,0.040791
# Rotation_2_Max_Residual,0.070766
# Rotation_2_R_Squared,0.00000000
# Rotation_3_Diameter,10.350591
# Rotation_3_RMS_Residual,0.041460
# Rotation_3_Max_Residual,0.076245
# Rotation_3_R_Squared,0.00000000
# Rotation_4_Diameter,10.351188
# Rotation_4_RMS_Residual,0.041036
# Rotation_4_Max_Residual,0.071802
# Rotation_4_R_Squared,0.00000000
# Rotation_5_Diameter,10.350036
# Rotation_5_RMS_Residual,0.040436
# Rotation_5_Max_Residual,0.070612
# Rotation_5_R_Squared,0.00000000
# Diameter_Range_Across_Rotations,0.001422
# Diameter_Stdev_Across_Rotations,0.000548

Rotation,Degree,Value
1,0.000,6.333261
1,5.000,6.334261
1,10.000,6.327261
1,15.000,6.309261
1,20.000,6.284261
1,25.000,6.246261
1,30.000,6.207261
1,35.000,6.161261
1,40.000,6.098261
1,45.000,6.026261
1,50.000,5.949261
1,55.000,5.850261
1,60.000,5.779261
1,65.000,5.683261
1,70.000,5.575261
1,75.000,5.471261
1,80.000,5.356261
1,85.000,5.242261
1,90.000,5.134261
1,95.000,5.025261
1,100.000,4.918261
1,105.000,4.799261
1,110.000,4.690261
1,115.000,4.609261
1,120.000,4.515261
1,125.000,4.420261
1,130.000,4.334261
1,135.000,4.263261
1,140.000,4.183261
1,145.000,4.117261
1,150.000,4.067261
1,155.000,4.024261
1,160.000,3.989261
1,165.000,3.959261
1,170.000,3.939261
1,175.000,3.923261
1,180.000,3.915261
1,185.000,3.921261
1,190.000,3.930261
1,195.000,3.943261
1,200.000,3.958261
1,205.000,3.987261
1,210.000,4.038261
1,215.000,4.082261
1,220.000,4.136261
1,225.000,4.192261
1,230.000,4.260261
1,235.000,4.328261
1,240.000,4.431261
1,245.000,4.521261
1,250.000,4.620261
1,255.000,4.718261
1,260.000,4.827261
1,265.000,4.930261
1,270.000,5.054261
1,275.000,5.151261
1,280.000,5.263261
1,285.000,5.362261
1,290.000,5.471261
1,295.000,5.565261
1,300.000,5.675261
1,305.000,5.761261
1,310.000,5.847261
1,315.000,5.928261
1,320.000,6.004261
1,325.000,6.065261
1,330.000,6.126261
1,335.000,6.186261
1,340.000,6.229261
1,345.000,6.268261
1,350.000,6.300261
1,355.000,6.311261
2,0.000,6.329261
2,5.000,6.331261
2,10.000,6.328261
2,15.000,6.309261
2,20.000,6.283261
2,25.000,6.243261
2,30.000,6.205261
2,35.000,6.165261
2,40.000,6.098261
2,45.000,6.028261
2,50.000,5.951261
2,55.000,5.847261
2,60.000,5.774261
2,65.000,5.674261
2,70.000,5.575261
2,75.000,5.471261
2,80.000,5.357261
2,85.000,5.243261
2,90.000,5.131261
2,95.000,5.019261
2,100.000,4.911261
2,105.000,4.796261
2,110.000,4.686261
2,115.000,4.607261
2,120.000,4.512261
2,125.000,4.422261
2,130.000,4.340261
2,135.000,4.252261
2,140.000,4.186261
2,145.000,4.117261
2,150.000,4.067261
2,155.000,4.023261
2,160.000,3.985261
2,165.000,3.950261
2,170.000,3.937261
2,175.000,3.916261
2,180.000,3.915261
2,185.000,3.917261
2,190.000,3.927261
2,195.000,3.938261
2,200.000,3.969261
2,205.000,3.984261
2,210.000,4.030261
2,215.000,4.083261
2,220.000,4.135261
2,225.000,4.192261
2,230.000,4.260261
2,235.000,4.326261
2,240.000,4.430261
2,245.000,4.520261
2,250.000,4.622261
2,255.000,4.717261
2,260.000,4.827261
2,265.000,4.931261
2,270.000,5.051261
2,275.000,5.150261
2,280.000,5.262261
2,285.000,5.360261
2,290.000,5.471261
2,295.000,5.565261
2,300.000,5.675261
2,305.000,5.765261
2,310.000,5.846261
2,315.000,5.934261
2,320.000,6.005261
2,325.000,6.058261
2,330.000,6.130261
2,335.000,6.193261
2,340.000,6.235261
2,345.000,6.271261
2,350.000,6.303261
2,355.000,6.317261
3,0.000,6.329261
3,5.000,6.331261
3,10.000,6.327261
3,15.000,6.308261
3,20.000,6.283261
3,25.000,6.245261
3,30.000,6.208261
3,35.000,6.161261
3,40.000,6.103261
3,45.000,6.033261
3,50.000,5.952261
3,55.000,5.850261
3,60.000,5.777261
3,65.000,5.673261
3,70.000,5.576261
3,75.000,5.471261
3,80.000,5.356261
3,85.000,5.244261
3,90.000,5.132261
3,95.000,5.023261
3,100.000,4.916261
